session_id,n_samples,wifi_drop_count,mq2_start,mq2_peak,mq2_end,mq2_rise,mq2_rise_rate_per_sample,temp_avg_c,temp_delta_c,humidity_avg_pct,humidity_delta_pct,loop_r_avg_ohm,loop_r_delta_ohm
normal_01,16,17,11509,11509,11341,0,0.0,26.18,0.1,59.39,0.2,265.52,0.4
normal_02,14,14,9865,11594,11551,1729,123.5,26.12,0.1,59.14,0.3,265.7,0.6
normal_03,14,13,10073,11634,11573,1561,111.5,26.1,0.0,58.86,0.2,265.54,0.3
normal_04,13,11,10131,11488,11418,1357,104.4,26.1,0.0,58.83,0.2,265.65,0.3
normal_05,13,13,9878,11400,11334,1522,117.1,26.11,0.1,58.58,0.2,265.49,0.2
normal_06,16,16,9943,11242,11140,1299,81.2,26.1,0.0,58.51,0.3,265.52,0.3
normal_07,14,14,9698,11045,10999,1347,96.2,26.1,0.0,58.34,0.1,265.83,0.3
normal_08,14,14,9602,10921,10886,1319,94.2,26.1,0.0,58.1,0.4,265.44,0.4
normal_09,14,14,9286,10773,10724,1487,106.2,26.09,0.1,58.07,0.2,265.23,0.3
normal_10,13,13,9303,10656,10620,1353,104.1,26.03,0.1,58.09,0.4,265.28,0.2
normal_11,13,13,9270,10502,10474,1232,94.8,26.08,0.1,57.96,0.1,265.99,0.3
normal_12,13,13,8973,10456,10435,1483,114.1,26.1,0.0,57.73,0.3,265.34,0.3
normal_13,14,13,8906,10373,10335,1467,104.8,26.1,0.0,57.8,0.2,265.28,0.4
normal_14,13,12,8720,10267,10246,1547,119.0,26.18,0.1,57.68,0.3,265.45,0.4
normal_15,13,13,8640,10184,10138,1544,118.8,26.2,0.0,57.48,0.2,265.35,0.3
