수증기량_구분,trial,n_points,humidity_baseline,humidity_peak,humidity_rise,humidity_peak_idx,mq2_baseline,mq2_peak,mq2_min,mq2_change_from_base_pct,loop_ohm_min,loop_ohm_max,loop_ohm_range,loop_ohm_base,temp_min,temp_max
대,1,50,52.5,88.4,35.9,49,11621.7,11633,11333,0.1,263.3,264.9,1.6,263.5,23.3,26.9
대,2,16,53.4,79.2,25.8,15,11160.7,12172,10526,9.06,263.4,264.6,1.2,263.63,24.9,26.8
대,3,24,50.6,82.8,32.2,23,11318,12202,10723,7.81,265.4,266.5,1.1,266.03,23.1,25.7
대,4,20,53.8,78.0,24.2,19,10888.7,10929,10580,0.37,264.5,266.3,1.8,264.53,25.2,26.2
대,5,15,55.8,80.4,24.6,14,10025.3,10054,9958,0.29,264.2,264.7,0.5,264.43,23.9,26.0
대,6,16,56.4,80.8,24.4,15,9028,9108,8993,0.89,265.9,266.3,0.4,266.23,24.0,26.5
대,7,16,55.5,79.7,24.2,15,8671,8694,8486,0.27,270.3,270.6,0.3,270.57,24.5,26.7
대,8,16,53.3,80.3,27.0,15,9835.3,9935,9758,1.01,264.4,265.2,0.8,264.67,22.7,25.0
대,9,16,55.7,80.1,24.4,15,9221.7,9258,9081,0.39,263.4,263.9,0.5,263.73,23.6,26.0
대,10,13,54.2,80.4,26.2,12,8620.3,8665,8584,0.52,264.2,264.7,0.5,264.63,23.4,26.0
