수증기량_구분,trial,n_points,humidity_baseline,humidity_peak,humidity_rise,humidity_peak_idx,mq2_baseline,mq2_peak,mq2_min,mq2_change_from_base_pct,loop_ohm_min,loop_ohm_max,loop_ohm_range,loop_ohm_base,temp_min,temp_max
중,1,15,54.6,77.9,23.3,13,8114,8138,8082,0.3,267.2,267.6,0.4,267.57,25.3,26.2
중,2,14,57.7,75.2,17.5,13,8363.7,8378,8275,0.17,265.5,266.1,0.6,265.63,26.2,27.3
중,3,15,54.8,73.6,18.8,14,8330.3,8370,8251,0.48,264.7,265.2,0.5,264.97,26.9,27.6
중,4,14,55.0,75.5,20.5,13,8309.3,8346,8273,0.44,263.6,263.9,0.3,263.63,26.3,27.3
중,5,15,56.7,77.8,21.1,14,8244.7,8274,8216,0.36,264.2,265.1,0.9,264.6,25.4,26.1
중,6,15,57.9,77.4,19.5,14,8007,8040,7998,0.41,265.3,265.6,0.3,265.4,25.6,26.6
중,7,15,56.0,76.2,20.2,14,8056.7,8085,7944,0.35,264.2,264.7,0.5,264.27,25.8,26.9
중,8,15,55.8,75.4,19.6,14,7827.3,7843,7818,0.2,264.7,265.0,0.3,264.73,26.3,27.2
중,9,14,52.9,71.9,19.0,9,7800.3,7823,7774,0.29,264.7,265.0,0.3,264.83,26.1,27.2
중,10,16,56.7,75.1,18.4,15,7794,7809,7767,0.19,265.3,265.8,0.5,265.5,26.1,26.9
