수증기량_구분,회차,sample_idx,loop_ohm,mq2raw,temp_c,humidity_pct
대,1,0,263.4,11633,26.9,52.3
대,1,1,263.6,11630,26.9,52.3
대,1,2,263.5,11602,26.9,52.8
대,1,3,263.7,11599,26.9,52.9
대,1,4,263.5,11595,26.9,53.0
대,1,5,263.5,11592,26.9,53.0
대,1,6,263.6,11566,26.9,53.0
대,1,7,263.6,11561,26.9,53.1
대,1,8,263.5,11549,26.9,53.2
대,1,9,263.5,11540,26.9,53.2
대,1,10,263.7,11513,26.9,53.1
대,1,11,263.5,11521,26.9,53.1
대,1,12,263.4,11519,26.9,53.1
대,1,13,263.7,11499,26.9,53.5
대,1,14,263.7,11478,26.9,53.7
대,1,15,263.6,11479,26.9,53.7
대,1,16,263.6,11468,26.9,53.8
대,1,17,263.5,11460,26.9,54.3
대,1,18,263.4,11453,26.9,54.5
대,1,19,263.5,11429,26.9,54.5
대,1,20,263.3,11436,26.9,54.3
대,1,21,263.4,11419,26.9,54.5
대,1,22,263.3,11421,26.9,54.6
대,1,23,263.4,11423,26.9,54.7
대,1,24,263.3,11408,26.9,54.5
대,1,25,263.5,11398,26.9,55.3
대,1,26,263.8,11389,26.9,56.4
대,1,27,263.5,11410,26.9,56.1
대,1,28,264.0,11417,26.9,58.1
대,1,29,264.0,11459,26.9,60.3
대,1,30,264.1,11516,26.8,65.7
대,1,31,264.1,11496,26.8,70.6
대,1,32,264.0,11529,26.6,74.3
대,1,33,263.8,11558,26.4,76.6
대,1,34,263.8,11529,26.2,78.5
대,1,35,263.9,11495,26.0,79.8
대,1,36,263.8,11473,25.7,80.8
대,1,37,263.8,11400,25.4,81.6
대,1,38,263.8,11382,25.1,82.2
대,1,39,263.9,11407,24.8,82.9
대,1,40,263.7,11429,24.6,83.7
대,1,41,263.8,11414,24.5,84.6
대,1,42,263.7,11333,24.3,85.1
대,1,43,263.7,11335,24.1,85.4
대,1,44,263.6,11383,23.9,85.9
대,1,45,263.7,11444,23.8,86.5
대,1,46,263.6,11440,23.6,87.1
대,1,47,263.6,11450,23.5,87.6
대,1,48,263.5,11425,23.4,88.0
대,1,49,264.9,11369,23.3,88.4
대,2,0,263.4,10526,26.8,53.5
대,2,1,263.5,11261,26.8,53.4
대,2,2,264.0,11695,26.8,53.3
대,2,3,264.1,11948,26.8,53.4
대,2,4,264.0,12089,26.8,56.9
대,2,5,263.9,12138,26.6,63.1
대,2,6,263.9,12160,26.5,67.3
대,2,7,263.8,12172,26.3,70.3
대,2,8,263.7,12171,26.2,72.6
대,2,9,263.7,12164,26.0,74.2
대,2,10,263.8,12148,25.8,75.4
대,2,11,263.7,12135,25.6,76.4
대,2,12,263.7,12118,25.4,77.1
대,2,13,263.8,12122,25.2,77.9
대,2,14,263.8,12095,25.0,78.6
대,2,15,264.6,12045,24.9,79.2
대,3,0,266.2,10723,25.7,50.5
대,3,1,266.0,11416,25.7,50.6
대,3,2,265.9,11815,25.7,50.6
대,3,3,265.8,12041,25.7,50.5
대,3,4,265.9,12136,25.7,50.5
대,3,5,265.8,12177,25.7,50.5
대,3,6,265.7,12191,25.7,50.5
대,3,7,265.7,12183,25.7,50.6
대,3,8,265.7,12154,25.7,50.7
대,3,9,265.9,12144,25.7,50.7
대,3,10,265.8,12111,25.7,50.9
대,3,11,265.7,12185,25.7,50.9
대,3,12,265.7,12202,25.6,57.5
대,3,13,265.5,12191,25.4,63.6
대,3,14,265.6,12143,25.2,68.1
대,3,15,265.5,12093,24.9,71.3
대,3,16,265.5,12073,24.7,73.6
대,3,17,265.4,12083,24.4,75.5
대,3,18,265.6,12094,24.2,77.4
대,3,19,265.4,12065,24.0,78.8
대,3,20,265.6,12044,23.8,80.0
