수증기량_구분,회차,sample_idx,loop_ohm,mq2raw,temp_c,humidity_pct
소,1,0,264.5,5990,25.2,54.4
소,1,1,264.4,7034,25.2,54.2
소,1,2,265.4,7646,25.2,54.2
소,1,3,265.7,7999,25.2,54.3
소,1,4,265.6,8172,25.2,54.6
소,1,5,265.6,8280,25.2,55.1
소,1,6,265.5,8342,25.2,56.1
소,1,7,265.7,8387,25.2,57.1
소,1,8,265.6,8398,25.2,58.8
소,1,9,265.7,8409,25.2,60.9
소,1,10,265.6,8409,25.2,61.7
소,1,11,265.8,8396,25.2,62.5
소,1,12,265.2,8424,25.1,61.9
소,1,13,265.3,8419,25.1,63.3
소,1,14,265.2,8432,25.0,64.6
소,1,15,265.3,8407,25.0,67.1
소,1,16,265.2,8398,25.0,68.2
소,1,17,265.4,8373,24.9,67.5
소,1,18,265.3,8361,24.9,66.3
소,2,0,264.4,8303,25.8,57.5
소,2,1,264.8,8262,25.9,56.9
소,2,2,264.8,8232,26.0,56.4
소,2,3,264.9,8236,26.1,56.3
소,2,4,264.9,8223,26.1,57.0
소,2,5,264.7,8203,26.2,59.4
소,2,6,264.8,8187,26.2,59.5
소,2,7,264.7,8177,26.2,59.8
소,2,8,264.7,8188,26.1,59.3
소,2,9,264.7,8171,26.1,60.8
소,2,10,265.0,8173,26.1,61.9
소,2,11,264.7,8172,26.1,62.5
소,2,12,264.7,8164,26.0,64.5
소,2,13,264.6,8148,25.9,65.4
소,2,14,264.7,8147,25.8,64.7
소,3,0,263.7,8012,26.8,56.3
소,3,1,263.4,7998,26.9,55.5
소,3,2,263.4,8021,26.9,54.6
소,3,3,263.4,8039,27.0,54.5
소,3,4,263.3,8026,27.0,59.5
소,3,5,263.3,8005,27.0,63.3
소,3,6,263.3,7998,27.0,62.7
소,3,7,263.4,7984,27.0,63.0
소,3,8,263.3,7979,26.9,61.5
소,3,9,263.3,7983,26.9,59.9
소,3,10,263.3,7990,26.8,58.6
소,3,11,263.3,7990,26.8,60.5
소,3,12,263.3,7986,26.7,61.6
소,3,13,263.3,7971,26.7,61.7
소,3,14,263.3,7965,26.6,60.8
소,4,0,262.6,7857,26.5,55.8
소,4,1,262.6,7842,26.5,55.8
소,4,2,262.6,7856,26.5,55.4
소,4,3,262.6,7868,26.5,55.6
소,4,4,262.8,7857,26.5,59.0
소,4,5,262.5,7859,26.5,62.1
소,4,6,262.6,7868,26.5,63.2
소,4,7,262.8,7840,26.4,65.5
소,4,8,262.7,7838,26.3,65.4
소,4,9,262.6,7838,26.2,64.0
소,4,10,262.6,7844,26.2,62.8
소,4,11,262.5,7822,26.1,64.3
소,4,12,262.6,7828,26.0,63.8
소,4,13,262.6,7833,26.0,62.3
소,5,0,264.6,7748,25.2,57.4
소,5,1,264.5,7735,25.2,57.3
소,5,2,264.5,7738,25.2,57.3
소,5,3,264.7,7737,25.2,57.2
소,5,4,264.5,7733,25.2,57.4
소,5,5,264.5,7762,25.2,57.3
소,5,6,264.4,7760,25.2,59.6
소,5,7,264.4,7764,25.3,63.9
소,5,8,264.2,7729,25.2,67.3
소,5,9,264.3,7720,25.2,68.1
소,5,10,264.3,7731,25.2,66.5
소,5,11,264.3,7743,25.1,65.4
소,5,12,264.3,7716,25.1,67.2
소,5,13,264.3,7704,25.1,69.5
소,5,14,264.4,7721,25.0,68.6
소,6,0,264.7,7599,24.9,58.2
소,6,1,264.7,7596,24.9,58.8
소,6,2,264.7,7576,24.9,58.7
소,6,3,264.7,7573,24.9,58.4
소,6,4,264.9,7586,25.0,58.2
소,6,5,264.7,7564,25.0,58.8
소,6,6,264.6,7578,25.0,59.3
소,6,7,264.6,7571,25.0,59.9
소,6,8,264.5,7600,25.0,59.5
소,6,9,264.6,7602,25.0,60.3
소,6,10,264.5,7598,25.0,63.0
소,6,11,264.6,7571,25.0,66.7
소,6,12,264.5,7582,25.0,66.6
소,6,13,264.6,7572,25.0,65.0
소,6,14,264.5,7579,24.9,65.7
소,6,15,264.7,7581,24.9,66.2
소,7,0,264.6,7583,24.9,58.1
소,7,1,265.2,7584,24.9,58.1
소,7,2,265.3,7599,24.9,58.0
소,7,3,265.6,7581,24.9,58.6
소,7,4,265.3,7579,25.0,60.3
소,7,5,265.3,7598,25.0,59.9
소,7,6,265.2,7609,25.0,60.3
소,7,7,265.2,7587,25.0,63.7
소,7,8,265.5,7574,25.0,66.1
소,7,9,265.3,7596,25.0,65.3
소,7,10,265.2,7593,25.0,67.0
소,7,11,265.3,7589,24.9,69.8
소,7,12,265.3,7580,24.9,72.0
소,7,13,265.3,7562,24.8,73.2
소,8,0,264.1,7496,25.6,57.2
소,8,1,264.2,7496,25.7,56.9
소,8,2,264.1,7477,25.7,56.8
소,8,3,264.1,7495,25.7,56.7
소,8,4,264.0,7491,25.7,56.8
소,8,5,264.1,7485,25.7,59.0
소,8,6,264.0,7502,25.7,60.3
소,8,7,264.0,7498,25.7,63.1
소,8,8,263.9,7505,25.6,65.5
소,8,9,263.9,7491,25.6,67.0
소,8,10,264.1,7493,25.5,67.1
소,8,11,264.0,7526,25.5,65.8
소,8,12,263.9,7537,25.5,66.3
소,8,13,263.9,7516,25.4,68.4
소,8,14,263.9,7494,25.4,70.8
소,9,0,264.5,7359,25.2,58.2
소,9,1,264.3,7352,25.2,58.0
소,9,2,264.4,7337,25.2,58.1
소,9,3,264.3,7356,25.2,58.1
소,9,4,264.3,7377,25.3,57.9
소,9,5,264.4,7369,25.3,61.1
소,9,6,264.2,7344,25.3,64.3
소,9,7,264.3,7317,25.3,66.2
소,9,8,264.1,7328,25.3,65.0
소,9,9,264.2,7353,25.3,63.5
소,9,10,264.2,7341,25.3,63.1
소,9,11,264.1,7336,25.3,62.8
소,9,12,264.1,7335,25.4,62.0
소,9,13,264.7,7361,25.4,61.4
소,10,0,264.1,7466,25.5,56.9
소,10,1,264.0,7462,25.5,56.9
소,10,2,263.9,7461,25.5,56.8
소,10,3,264.2,7487,25.5,56.7
소,10,4,264.0,7493,25.5,60.5
소,10,5,264.0,7487,25.5,64.6
소,10,6,264.1,7480,25.5,67.5
소,10,7,264.2,7479,25.5,69.1
소,10,8,263.9,7477,25.4,69.0
소,10,9,264.0,7462,25.4,67.7
소,10,10,263.9,7459,25.3,67.9
소,10,11,263.9,7484,25.3,66.4
소,10,12,263.9,7466,25.3,67.4
소,10,13,263.9,7453,25.2,69.9
소,10,14,263.9,7442,25.2,70.0
