수증기량_구분,회차,sample_idx,loop_ohm,mq2raw,temp_c,humidity_pct
중,1,0,267.6,8130,26.2,53.9
중,1,1,267.5,8130,26.1,54.1
중,1,2,267.6,8082,26.1,55.9
중,1,3,267.5,8095,26.1,57.5
중,1,4,267.5,8105,26.2,59.3
중,1,5,267.3,8110,26.1,63.4
중,1,6,267.2,8116,26.1,67.9
중,1,7,267.2,8120,26.1,71.4
중,1,8,267.2,8123,26.0,73.1
중,1,9,267.2,8136,25.9,75.1
중,1,10,267.2,8131,25.8,76.5
중,1,11,267.2,8137,25.7,77.3
중,1,12,267.3,8138,25.5,77.7
중,1,13,267.3,8131,25.4,77.9
중,1,14,267.2,8138,25.3,77.7
중,2,0,265.7,8378,27.1,56.7
중,2,1,265.7,8354,27.2,58.5
중,2,2,265.5,8359,27.2,57.9
중,2,3,265.8,8350,27.3,56.8
중,2,4,265.9,8362,27.3,58.3
중,2,5,266.1,8356,27.3,62.4
중,2,6,265.9,8352,27.2,66.2
중,2,7,265.9,8346,27.2,68.0
중,2,8,266.0,8337,27.0,70.5
중,2,9,265.9,8332,26.9,72.1
중,2,10,266.1,8323,26.7,73.2
중,2,11,266.1,8323,26.6,74.1
중,2,12,266.1,8306,26.4,74.7
중,2,13,266.1,8275,26.2,75.2
중,3,0,265.2,8370,27.1,55.0
중,3,1,264.9,8306,27.2,54.9
중,3,2,264.8,8315,27.4,54.4
중,3,3,264.8,8334,27.5,53.8
중,3,4,264.7,8330,27.6,58.9
중,3,5,264.8,8317,27.6,63.5
중,3,6,264.9,8286,27.6,67.2
중,3,7,264.8,8290,27.5,68.4
중,3,8,264.9,8276,27.5,69.0
중,3,9,265.0,8281,27.4,69.2
중,3,10,265.0,8273,27.3,70.4
중,3,11,265.1,8274,27.2,71.8
중,3,12,265.1,8275,27.1,72.6
중,3,13,265.1,8261,27.0,73.3
중,3,14,265.1,8251,26.9,73.6
중,4,0,263.6,8308,27.1,55.5
중,4,1,263.7,8306,27.1,55.1
중,4,2,263.6,8314,27.2,54.4
중,4,3,263.6,8346,27.3,54.4
중,4,4,263.7,8322,27.3,60.7
중,4,5,263.6,8293,27.2,65.1
중,4,6,263.7,8322,27.2,67.3
중,4,7,263.8,8328,27.1,67.0
중,4,8,263.8,8317,27.0,69.6
중,4,9,263.8,8308,26.9,71.6
중,4,10,263.8,8300,26.8,72.9
중,4,11,263.9,8287,26.7,74.0
중,4,12,263.9,8283,26.5,74.8
중,4,13,263.9,8273,26.3,75.5
중,5,0,264.2,8261,26.0,56.6
중,5,1,264.8,8240,26.0,56.6
중,5,2,264.8,8233,26.0,56.9
중,5,3,264.8,8255,26.1,56.4
중,5,4,264.8,8274,26.1,57.8
중,5,5,264.9,8262,26.1,63.5
중,5,6,265.1,8256,26.1,67.4
중,5,7,265.0,8239,26.0,70.0
중,5,8,265.0,8248,25.9,72.2
중,5,9,265.0,8249,25.9,73.6
중,5,10,265.1,8243,25.8,74.9
중,5,11,265.0,8236,25.7,76.0
중,5,12,265.1,8226,25.6,76.7
중,5,13,265.1,8216,25.5,77.3
중,5,14,265.0,8221,25.4,77.8
중,6,0,265.4,8012,26.5,57.7
중,6,1,265.4,8011,26.5,58.3
중,6,2,265.4,7998,26.5,57.7
중,6,3,265.3,8001,26.5,56.9
중,6,4,265.3,8027,26.6,56.2
중,6,5,265.3,8040,26.6,59.7
중,6,6,265.5,8039,26.5,64.6
중,6,7,265.3,8035,26.5,68.6
중,6,8,265.4,8021,26.4,71.4
중,6,9,265.5,8020,26.3,73.2
중,6,10,265.5,8021,26.2,74.3
중,6,11,265.5,8028,26.1,75.3
중,6,12,265.4,8028,25.9,76.1
중,6,13,265.6,8030,25.8,76.6
중,6,14,265.5,8018,25.6,77.4
중,7,0,264.3,8085,26.7,56.0
중,7,1,264.3,8052,26.8,56.2
중,7,2,264.2,8033,26.8,55.9
중,7,3,264.3,8017,26.8,55.4
중,7,4,264.4,8017,26.9,58.2
중,7,5,264.5,8007,26.9,62.6
중,7,6,264.6,7993,26.8,66.3
중,7,7,264.6,7992,26.7,69.1
중,7,8,264.7,7982,26.6,70.9
중,7,9,264.6,7981,26.5,72.6
중,7,10,264.7,7958,26.4,73.8
중,7,11,264.7,7960,26.2,74.6
중,7,12,264.7,7949,26.1,75.3
중,7,13,264.7,7948,25.9,75.7
중,7,14,264.7,7944,25.8,76.2
중,8,0,264.8,7835,26.8,56.3
중,8,1,264.7,7829,26.9,55.8
중,8,2,264.7,7818,27.0,55.2
중,8,3,264.8,7843,27.1,54.5
중,8,4,264.7,7837,27.2,58.5
중,8,5,264.7,7830,27.2,62.9
중,8,6,264.8,7841,27.2,66.0
중,8,7,264.7,7840,27.1,67.9
중,8,8,264.8,7840,27.1,70.0
중,8,9,264.8,7832,26.9,71.6
중,8,10,264.8,7834,26.9,72.8
중,8,11,265.0,7831,26.7,73.8
중,8,12,264.9,7822,26.6,74.3
중,8,13,265.0,7819,26.5,74.9
중,8,14,264.9,7819,26.3,75.4
중,9,0,264.8,7801,27.2,53.1
중,9,1,264.9,7787,27.2,52.9
중,9,2,264.8,7813,27.2,52.8
중,9,3,264.7,7823,27.2,56.5
중,9,4,264.8,7816,27.1,60.8
중,9,5,264.8,7823,27.1,64.6
중,9,6,264.9,7808,27.0,67.8
중,9,7,264.9,7798,26.8,70.2
중,9,8,265.0,7775,26.7,71.5
중,9,9,264.9,7776,26.6,71.9
중,9,10,264.9,7789,26.5,70.6
중,9,11,264.9,7788,26.3,70.2
중,9,12,264.9,7774,26.2,70.7
중,9,13,264.9,7783,26.1,70.4
중,10,0,265.3,7809,26.9,56.8
중,10,1,265.6,7794,26.8,56.4
중,10,2,265.6,7779,26.9,56.9
중,10,3,265.6,7772,26.9,56.2
중,10,4,265.7,7775,26.9,55.8
중,10,5,265.8,7781,26.9,56.6
중,10,6,265.7,7787,26.8,61.4
중,10,7,265.6,7767,26.8,66.1
중,10,8,265.6,7774,26.7,68.6
중,10,9,265.6,7770,26.6,69.3
중,10,10,265.6,7780,26.6,69.9
중,10,11,265.5,7790,26.5,70.9
중,10,12,265.5,7787,26.4,71.3
중,10,13,265.6,7786,26.3,73.1
중,10,14,265.6,7785,26.2,74.1
중,10,15,265.7,7788,26.1,75.1
