수증기량_구분,trial,n_points,humidity_baseline,humidity_peak,humidity_rise,humidity_peak_idx,mq2_baseline,mq2_peak,mq2_min,mq2_change_from_base_pct,loop_ohm_min,loop_ohm_max,loop_ohm_range,loop_ohm_base,temp_min,temp_max
소,1,19,54.3,68.2,13.9,16,6890,8432,5990,22.38,264.4,265.8,1.4,264.77,24.9,25.2
소,2,15,56.9,65.4,8.5,13,8265.7,8303,8147,0.45,264.4,265.0,0.6,264.67,25.8,26.2
소,3,15,55.5,63.3,7.8,5,8010.3,8039,7965,0.36,263.3,263.7,0.4,263.5,26.6,27.0
소,4,14,55.7,65.5,9.8,7,7851.7,7868,7822,0.21,262.5,262.8,0.3,262.6,26.0,26.5
소,5,15,57.3,69.5,12.2,13,7740.3,7764,7704,0.31,264.2,264.7,0.5,264.53,25.0,25.3
소,6,16,58.6,66.7,8.1,11,7590.3,7602,7564,0.15,264.5,264.9,0.4,264.7,24.9,25.0
소,7,14,58.1,73.2,15.1,13,7588.7,7609,7562,0.27,264.6,265.6,1.0,265.03,24.8,25.0
소,8,15,57.0,70.8,13.8,14,7489.7,7537,7477,0.63,263.9,264.2,0.3,264.13,25.4,25.7
소,9,14,58.1,66.2,8.1,7,7349.3,7377,7317,0.38,264.1,264.7,0.6,264.4,25.2,25.4
소,10,15,56.9,70.0,13.1,14,7463,7493,7442,0.4,263.9,264.2,0.3,264.0,25.2,25.5
