session_id,label,subtype,condition,n_samples,mq2_rise_pct,humidity_change_pct,temp_rise_c,note
normal_01,normal,normal,baseline,16,0.0,0.2,0.1,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_02,normal,normal,baseline,14,17.53,0.3,0.1,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_03,normal,normal,baseline,14,15.5,0.2,0.0,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_04,normal,normal,baseline,13,13.39,0.2,0.0,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_05,normal,normal,baseline,13,15.41,0.2,0.1,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_06,normal,normal,baseline,16,13.06,0.3,0.0,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_07,normal,normal,baseline,14,13.89,0.1,0.0,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_08,normal,normal,baseline,14,13.74,0.4,0.0,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_09,normal,normal,baseline,14,16.01,0.2,0.1,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_10,normal,normal,baseline,13,14.54,0.4,0.1,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_11,normal,normal,baseline,13,13.29,0.1,0.1,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_12,normal,normal,baseline,13,16.53,0.3,0.0,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_13,normal,normal,baseline,14,16.47,0.2,0.0,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_14,normal,normal,baseline,13,17.74,0.3,0.1,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
normal_15,normal,normal,baseline,13,17.87,0.2,0.0,"MQ2 rise = sensor warm-up artifact (cold start), not a real class signal; humidity_change_pct here is abs fluctuation range, not signed rise"
tobacco_01,smoking,tobacco,outdoor,31,11.93,5.71,0.4,"outdoor session; absolute baseline elevated by weather, use rise% only"
