session_id,label,idx,loop_r_ohm,mq2_raw,temp_c,humidity_pct
normal_01,normal,0,265.6,11509,26.2,59.5
normal_01,normal,1,265.4,11503,26.2,59.4
normal_01,normal,2,265.4,11493,26.2,59.4
normal_01,normal,3,265.6,11457,26.2,59.4
normal_01,normal,4,265.7,11442,26.2,59.4
normal_01,normal,5,265.6,11446,26.2,59.4
normal_01,normal,6,265.7,11425,26.2,59.5
normal_01,normal,7,265.6,11424,26.2,59.3
normal_01,normal,8,265.6,11392,26.2,59.3
normal_01,normal,9,265.5,11395,26.1,59.3
normal_01,normal,10,265.5,11386,26.2,59.4
normal_01,normal,11,265.5,11376,26.1,59.4
normal_01,normal,12,265.5,11360,26.1,59.5
normal_01,normal,13,265.4,11353,26.2,59.3
normal_01,normal,14,265.3,11355,26.2,59.3
normal_01,normal,15,265.4,11341,26.2,59.4
normal_02,normal,0,265.9,9865,26.2,59.3
normal_02,normal,1,265.8,10621,26.2,59.2
normal_02,normal,2,266.1,11029,26.1,59.3
normal_02,normal,3,265.9,11285,26.1,59.3
normal_02,normal,4,265.9,11430,26.1,59.2
normal_02,normal,5,265.6,11511,26.1,59.2
normal_02,normal,6,265.7,11548,26.1,59.1
normal_02,normal,7,265.7,11571,26.1,59.1
normal_02,normal,8,265.6,11583,26.1,59.1
normal_02,normal,9,265.5,11594,26.2,59.0
normal_02,normal,10,265.5,11580,26.1,59.1
normal_02,normal,11,265.5,11576,26.1,59.1
normal_02,normal,12,265.5,11570,26.1,59.0
normal_02,normal,13,265.6,11551,26.1,59.0
normal_03,normal,0,265.7,10073,26.1,58.8
normal_03,normal,1,265.6,10798,26.1,58.8
normal_03,normal,2,265.5,11197,26.1,58.9
normal_03,normal,3,265.5,11412,26.1,59.0
normal_03,normal,4,265.6,11531,26.1,59.0
normal_03,normal,5,265.5,11602,26.1,59.0
normal_03,normal,6,265.5,11630,26.1,58.9
normal_03,normal,7,265.5,11627,26.1,58.9
normal_03,normal,8,265.7,11634,26.1,58.8
normal_03,normal,9,265.5,11629,26.1,58.8
normal_03,normal,10,265.4,11620,26.1,58.8
normal_03,normal,11,265.5,11604,26.1,58.8
normal_03,normal,12,265.6,11572,26.1,58.8
normal_03,normal,13,265.5,11573,26.1,58.8
normal_04,normal,0,265.8,10131,26.1,58.9
normal_04,normal,1,265.7,10756,26.1,58.9
normal_04,normal,2,265.7,11097,26.1,58.9
normal_04,normal,3,265.6,11284,26.1,58.9
normal_04,normal,4,265.8,11392,26.1,58.8
normal_04,normal,5,265.6,11450,26.1,58.8
normal_04,normal,6,265.6,11478,26.1,58.8
normal_04,normal,7,265.6,11488,26.1,58.8
normal_04,normal,8,265.8,11471,26.1,58.9
normal_04,normal,9,265.6,11468,26.1,58.8
normal_04,normal,10,265.6,11457,26.1,58.8
normal_04,normal,11,265.5,11444,26.1,58.8
normal_04,normal,12,265.6,11418,26.1,58.7
normal_05,normal,0,265.6,9878,26.1,58.5
normal_05,normal,1,265.6,10565,26.1,58.7
normal_05,normal,2,265.6,10960,26.1,58.6
normal_05,normal,3,265.4,11174,26.1,58.6
normal_05,normal,4,265.4,11302,26.1,58.7
normal_05,normal,5,265.6,11346,26.1,58.6
normal_05,normal,6,265.5,11375,26.1,58.5
normal_05,normal,7,265.4,11400,26.1,58.5
normal_05,normal,8,265.4,11397,26.1,58.6
normal_05,normal,9,265.4,11383,26.1,58.7
normal_05,normal,10,265.4,11368,26.1,58.6
normal_05,normal,11,265.5,11355,26.1,58.5
normal_05,normal,12,265.6,11334,26.2,58.5
normal_06,normal,0,265.6,9943,26.1,58.3
normal_06,normal,1,265.7,10532,26.1,58.5
normal_06,normal,2,265.6,10871,26.1,58.5
normal_06,normal,3,265.5,11062,26.1,58.5
normal_06,normal,4,265.6,11157,26.1,58.5
normal_06,normal,5,265.5,11214,26.1,58.5
normal_06,normal,6,265.7,11242,26.1,58.5
normal_06,normal,7,265.5,11226,26.1,58.5
normal_06,normal,8,265.5,11231,26.1,58.5
normal_06,normal,9,265.5,11228,26.1,58.5
normal_06,normal,10,265.4,11215,26.1,58.6
normal_06,normal,11,265.5,11194,26.1,58.6
normal_06,normal,12,265.4,11178,26.1,58.6
normal_06,normal,13,265.4,11166,26.1,58.5
normal_06,normal,14,265.4,11159,26.1,58.5
normal_06,normal,15,265.5,11140,26.1,58.5
normal_07,normal,0,265.9,9698,26.1,58.3
normal_07,normal,1,265.9,10313,26.1,58.4
normal_07,normal,2,266.0,10652,26.1,58.4
normal_07,normal,3,265.8,10836,26.1,58.4
normal_07,normal,4,265.8,10941,26.1,58.3
normal_07,normal,5,265.8,11005,26.1,58.3
normal_07,normal,6,265.8,11029,26.1,58.3
normal_07,normal,7,265.8,11043,26.1,58.4
normal_07,normal,8,265.7,11045,26.1,58.4
normal_07,normal,9,265.8,11039,26.1,58.3
normal_07,normal,10,266.0,11036,26.1,58.3
normal_07,normal,11,265.8,11015,26.1,58.3
normal_07,normal,12,265.7,10997,26.1,58.3
normal_07,normal,13,265.8,10999,26.1,58.3
normal_08,normal,0,265.7,9602,26.1,57.9
normal_08,normal,1,265.5,10202,26.1,58.1
normal_08,normal,2,265.6,10524,26.1,58.1
normal_08,normal,3,265.5,10726,26.1,58.1
normal_08,normal,4,265.5,10827,26.1,58.1
normal_08,normal,5,265.4,10883,26.1,58.1
normal_08,normal,6,265.5,10894,26.1,58.0
normal_08,normal,7,265.4,10920,26.1,58.0
normal_08,normal,8,265.3,10921,26.1,58.1
normal_08,normal,9,265.4,10908,26.1,58.2
normal_08,normal,10,265.4,10908,26.1,58.1
normal_08,normal,11,265.3,10899,26.1,58.1
normal_08,normal,12,265.3,10892,26.1,58.2
normal_08,normal,13,265.3,10886,26.1,58.3
normal_09,normal,0,265.4,9286,26.1,58.2
normal_09,normal,1,265.3,9950,26.1,58.1
normal_09,normal,2,265.3,10332,26.1,58.1
normal_09,normal,3,265.3,10534,26.0,58.1
normal_09,normal,4,265.3,10639,26.1,58.1
normal_09,normal,5,265.2,10713,26.1,58.0
normal_09,normal,6,265.1,10758,26.1,58.1
normal_09,normal,7,265.1,10768,26.1,58.1
normal_09,normal,8,265.1,10767,26.1,58.1
normal_09,normal,9,265.1,10768,26.1,58.0
normal_09,normal,10,265.2,10773,26.1,58.0
normal_09,normal,11,265.3,10750,26.1,58.0
normal_09,normal,12,265.2,10719,26.0,58.0
normal_09,normal,13,265.3,10724,26.1,58.1
normal_10,normal,0,265.4,9303,26.1,58.1
normal_10,normal,1,265.4,9913,26.0,58.0
normal_10,normal,2,265.3,10255,26.0,58.1
normal_10,normal,3,265.3,10441,26.1,58.3
normal_10,normal,4,265.3,10557,26.0,58.2
normal_10,normal,5,265.2,10622,26.0,58.2
normal_10,normal,6,265.4,10641,26.1,58.2
normal_10,normal,7,265.3,10643,26.1,58.1
normal_10,normal,8,265.2,10656,26.0,58.1
normal_10,normal,9,265.2,10652,26.0,58.0
normal_10,normal,10,265.3,10642,26.0,58.0
normal_10,normal,11,265.2,10631,26.0,58.0
normal_10,normal,12,265.2,10620,26.0,57.9
normal_11,normal,0,266.1,9270,26.0,57.9
normal_11,normal,1,266.1,9829,26.0,58.0
normal_11,normal,2,266.1,10148,26.1,58.0
normal_11,normal,3,266.1,10312,26.1,58.0
normal_11,normal,4,266.0,10407,26.1,58.0
normal_11,normal,5,266.0,10469,26.1,57.9
normal_11,normal,6,265.9,10498,26.1,57.9
normal_11,normal,7,266.0,10497,26.1,58.0
normal_11,normal,8,266.0,10489,26.1,58.0
normal_11,normal,9,266.0,10489,26.1,58.0
normal_11,normal,10,265.8,10502,26.1,57.9
normal_11,normal,11,265.9,10479,26.1,58.0
normal_11,normal,12,265.9,10474,26.1,57.9
normal_12,normal,0,265.5,8973,26.1,57.6
normal_12,normal,1,265.4,9631,26.1,57.8
normal_12,normal,2,265.4,10013,26.1,57.8
normal_12,normal,3,265.4,10201,26.1,57.9
normal_12,normal,4,265.3,10317,26.1,57.9
normal_12,normal,5,265.3,10404,26.1,57.7
normal_12,normal,6,265.3,10430,26.1,57.7
normal_12,normal,7,265.4,10436,26.1,57.7
normal_12,normal,8,265.4,10438,26.1,57.7
normal_12,normal,9,265.3,10456,26.1,57.7
normal_12,normal,10,265.2,10450,26.1,57.7
normal_12,normal,11,265.3,10437,26.1,57.7
normal_12,normal,12,265.2,10435,26.1,57.6
normal_13,normal,0,265.4,8906,26.1,57.8
normal_13,normal,1,265.4,9553,26.1,57.7
normal_13,normal,2,265.5,9916,26.1,57.8
normal_13,normal,3,265.3,10119,26.1,57.8
normal_13,normal,4,265.3,10250,26.1,57.8
normal_13,normal,5,265.2,10317,26.1,57.8
normal_13,normal,6,265.3,10333,26.1,57.8
normal_13,normal,7,265.2,10351,26.1,57.8
normal_13,normal,8,265.3,10353,26.1,57.9
normal_13,normal,9,265.1,10373,26.1,57.8
normal_13,normal,10,265.2,10364,26.1,57.8
normal_13,normal,11,265.2,10355,26.1,57.8
normal_13,normal,12,265.1,10352,26.1,57.8
normal_13,normal,13,265.4,10335,26.1,57.8
normal_14,normal,0,265.6,8720,26.1,57.8
normal_14,normal,1,265.7,9400,26.1,57.8
normal_14,normal,2,265.5,9787,26.2,57.8
normal_14,normal,3,265.4,10011,26.2,57.8
normal_14,normal,4,265.4,10139,26.2,57.8
normal_14,normal,5,265.5,10200,26.2,57.8
normal_14,normal,6,265.4,10245,26.2,57.7
normal_14,normal,7,265.4,10266,26.2,57.7
normal_14,normal,8,265.4,10267,26.2,57.6
normal_14,normal,9,265.4,10251,26.2,57.5
normal_14,normal,10,265.3,10253,26.2,57.5
normal_14,normal,11,265.5,10255,26.2,57.5
normal_14,normal,12,265.3,10246,26.2,57.6
normal_15,normal,0,265.5,8640,26.2,57.4
normal_15,normal,1,265.5,9317,26.2,57.5
normal_15,normal,2,265.4,9710,26.2,57.5
normal_15,normal,3,265.4,9930,26.2,57.5
normal_15,normal,4,265.4,10048,26.2,57.5
normal_15,normal,5,265.3,10122,26.2,57.5
normal_15,normal,6,265.3,10164,26.2,57.5
normal_15,normal,7,265.2,10184,26.2,57.5
normal_15,normal,8,265.3,10174,26.2,57.4
normal_15,normal,9,265.3,10166,26.2,57.4
normal_15,normal,10,265.2,10180,26.2,57.4
normal_15,normal,11,265.2,10177,26.2,57.5
normal_15,normal,12,265.5,10138,26.2,57.6
