session_id,label,distance,idx,loop_r_ohm,mq2_raw,temp_c,humidity_pct
ecig_01,ecig,가까이,0,265.2,8448,26.1,57.9
ecig_01,ecig,가까이,1,265.2,9328,26.2,58.3
ecig_01,ecig,가까이,2,265.4,10343,26.2,59.3
ecig_01,ecig,가까이,3,265.6,11196,26.2,64.4
ecig_01,ecig,가까이,4,265.4,11694,26.1,68.1
ecig_01,ecig,가까이,5,265.4,12288,26.1,71.5
ecig_01,ecig,가까이,6,265.3,12674,26.1,74.1
ecig_01,ecig,가까이,7,265.3,12724,26.1,75.6
ecig_01,ecig,가까이,8,265.3,12676,26.0,76.7
ecig_01,ecig,가까이,9,265.3,13090,26.1,78.8
ecig_01,ecig,가까이,10,265.3,13177,26.0,79.7
ecig_01,ecig,가까이,11,265.4,13204,26.0,79.3
ecig_01,ecig,가까이,12,265.5,13237,26.0,78.8
ecig_02,ecig,가까이,0,265.8,8818,26.3,57.6
ecig_02,ecig,가까이,1,265.6,8824,26.3,57.6
ecig_02,ecig,가까이,2,265.6,9335,26.3,57.5
ecig_02,ecig,가까이,3,265.6,11163,26.3,58.4
ecig_02,ecig,가까이,4,265.7,11888,26.3,65.8
ecig_02,ecig,가까이,5,265.6,12259,26.3,72.1
ecig_02,ecig,가까이,6,265.6,12394,26.3,76.5
ecig_02,ecig,가까이,7,265.6,12161,26.3,79.5
ecig_02,ecig,가까이,8,265.6,12540,26.3,81.1
ecig_02,ecig,가까이,9,265.8,12876,26.2,81.9
ecig_02,ecig,가까이,10,265.5,12747,26.2,82.0
ecig_02,ecig,가까이,11,265.6,12659,26.2,81.6
ecig_02,ecig,가까이,12,265.5,12575,26.1,79.6
ecig_02,ecig,가까이,13,265.9,12536,26.1,77.3
ecig_03,ecig,중간,0,266.4,8831,26.4,56.7
ecig_03,ecig,중간,1,266.2,8828,26.3,56.7
ecig_03,ecig,중간,2,266.2,8822,26.3,56.7
ecig_03,ecig,중간,3,266.3,10661,26.3,56.7
ecig_03,ecig,중간,4,266.5,10982,26.4,59.6
ecig_03,ecig,중간,5,266.5,10715,26.3,64.0
ecig_03,ecig,중간,6,266.4,10577,26.3,65.2
ecig_03,ecig,중간,7,266.4,10532,26.3,65.3
ecig_03,ecig,중간,8,266.4,10485,26.3,65.4
ecig_03,ecig,중간,9,266.3,10645,26.3,64.8
ecig_03,ecig,중간,10,266.4,10726,26.2,64.9
ecig_03,ecig,중간,11,266.4,10595,26.2,64.9
ecig_03,ecig,중간,12,266.3,10554,26.2,64.7
ecig_03,ecig,중간,13,266.2,10485,26.1,64.7
ecig_03,ecig,중간,14,266.1,10571,26.1,64.0
ecig_03,ecig,중간,15,266.2,10719,26.1,64.1
ecig_04,ecig,중간,0,265.9,8775,26.3,56.5
ecig_04,ecig,중간,1,266.0,8769,26.3,56.6
ecig_04,ecig,중간,2,266.0,9306,26.3,56.5
ecig_04,ecig,중간,3,266.0,10175,26.3,58.2
ecig_04,ecig,중간,4,266.1,10500,26.3,60.9
ecig_04,ecig,중간,5,266.1,10298,26.3,63.1
ecig_04,ecig,중간,6,266.2,10799,26.2,63.9
ecig_04,ecig,중간,7,266.1,11117,26.2,65.7
ecig_04,ecig,중간,8,266.0,10837,26.1,66.3
ecig_04,ecig,중간,9,266.1,11140,26.1,66.2
ecig_04,ecig,중간,10,266.1,11008,26.1,66.1
ecig_04,ecig,중간,11,266.1,11298,26.0,65.8
ecig_04,ecig,중간,12,266.0,11066,26.0,66.2
ecig_04,ecig,중간,13,266.1,11407,25.9,66.2
ecig_04,ecig,중간,14,266.0,11167,25.8,65.9
ecig_04,ecig,중간,15,266.1,11455,25.8,65.3
ecig_04,ecig,중간,16,266.0,11403,25.8,65.8
ecig_04,ecig,중간,17,266.0,11407,25.7,65.9
ecig_04,ecig,중간,18,266.1,11899,25.7,66.7
ecig_05,ecig,중간,0,265.8,8789,26.2,58.7
ecig_05,ecig,중간,1,265.8,8779,26.2,58.7
ecig_05,ecig,중간,2,265.8,9212,26.2,58.6
ecig_05,ecig,중간,3,265.9,9802,26.2,60.8
ecig_05,ecig,중간,4,265.9,10505,26.2,63.4
ecig_05,ecig,중간,5,266.2,10194,26.1,65.7
ecig_05,ecig,중간,6,265.9,10330,26.1,66.2
ecig_05,ecig,중간,7,266.2,10865,26.1,66.6
ecig_05,ecig,중간,8,265.9,10604,26.1,67.5
ecig_05,ecig,중간,9,266.0,10757,26.0,67.9
