session_id,distance,n_samples,wifi_drop_count,mq2_start,mq2_peak,mq2_end,mq2_rise_abs,mq2_rise_pct,humidity_start,humidity_peak,humidity_rise_abs_pp,humidity_rise_pct,temp_avg_c,temp_delta_c
ecig_01,가까이,13,13,8448,13237,13237,4789,56.69,57.9,79.7,21.8,37.65,26.09,0.2
ecig_02,가까이,14,13,8818,12876,12536,4058,46.02,57.6,82.0,24.4,42.36,26.25,0.2
ecig_03,중간,16,16,8831,10982,10719,2151,24.36,56.7,65.4,8.7,15.34,26.26,0.3
ecig_04,중간,19,19,8775,11899,11899,3124,35.6,56.5,66.7,10.2,18.05,26.06,0.6
ecig_05,중간,16,16,8789,12129,12129,3340,38.0,58.7,70.5,11.8,20.1,26.04,0.4
ecig_06,중간,15,15,8796,11418,11418,2622,29.81,57.5,69.3,11.8,20.52,26.02,0.4
ecig_07,멀리서,19,19,8845,9896,9896,1051,11.88,57.3,62.8,5.5,9.6,25.98,0.4
ecig_08,멀리서,14,14,8797,9739,9739,942,10.71,57.6,63.3,5.7,9.9,25.93,0.2
ecig_09,멀리서,16,16,8678,10032,10032,1354,15.6,57.5,63.3,5.8,10.09,25.76,0.4
ecig_10,멀리서,16,16,8754,9409,9409,655,7.48,58.1,63.0,4.9,8.43,25.6,0.3
