session_id,label,subtype,condition,n_samples,mq2_rise_pct,mq2_rise_abs,humidity_rise_pct,humidity_rise_abs_pp,temp_delta_c_within_session
tobacco_01,smoking,tobacco,outdoor,31,11.93,1093,5.71,3.8,0.4
tobacco_02,smoking,tobacco,outdoor,25,15.49,1406,5.72,3.8,0.1
tobacco_03,smoking,tobacco,outdoor,34,12.12,1146,8.72,5.8,0.3
tobacco_04,smoking,tobacco,outdoor,18,9.7,870,5.93,4.0,0.1
tobacco_05,smoking,tobacco,outdoor,25,15.46,1379,7.16,4.9,0.1
tobacco_06,smoking,tobacco,outdoor,23,13.9,1263,5.2,3.6,0.1
tobacco_07,smoking,tobacco,outdoor,26,14.7,1330,5.05,3.5,0.1
tobacco_08,smoking,tobacco,outdoor,28,16.55,1506,6.65,4.6,0.0
tobacco_09,smoking,tobacco,outdoor,24,34.91,3107,9.3,6.5,0.2
tobacco_10,smoking,tobacco,outdoor,28,17.75,1615,8.36,5.9,0.0
ecig_01,smoking,ecig,가까이,13,56.69,4789,37.65,21.8,0.2
ecig_02,smoking,ecig,가까이,14,46.02,4058,42.36,24.4,0.2
ecig_03,smoking,ecig,중간,16,24.36,2151,15.34,8.7,0.3
ecig_04,smoking,ecig,중간,19,35.6,3124,18.05,10.2,0.6
ecig_05,smoking,ecig,중간,16,38.0,3340,20.1,11.8,0.4
ecig_06,smoking,ecig,중간,15,29.81,2622,20.52,11.8,0.4
ecig_07,smoking,ecig,멀리서,19,11.88,1051,9.6,5.5,0.4
ecig_08,smoking,ecig,멀리서,14,10.71,942,9.9,5.7,0.2
ecig_09,smoking,ecig,멀리서,16,15.6,1354,10.09,5.8,0.4
ecig_10,smoking,ecig,멀리서,16,7.48,655,8.43,4.9,0.3
