session_id,label,idx,loop_r_ohm,mq2_raw,temp_c,humidity_pct
tobacco_01,tobacco,0,268.4,9159,28.6,66.6
tobacco_01,tobacco,1,268.4,9145,28.7,66.4
tobacco_01,tobacco,2,268.3,9129,28.7,66.2
tobacco_01,tobacco,3,268.3,9293,28.7,66.5
tobacco_01,tobacco,4,268.3,9243,28.8,66.4
tobacco_01,tobacco,5,268.3,9326,28.8,66.2
tobacco_01,tobacco,6,268.3,9281,28.8,67.0
tobacco_01,tobacco,7,268.3,9450,28.8,66.7
tobacco_01,tobacco,8,268.2,9396,28.9,67.5
tobacco_01,tobacco,9,268.2,9553,28.9,66.8
tobacco_01,tobacco,10,268.1,9461,28.9,68.0
tobacco_01,tobacco,11,268.0,9535,28.9,67.4
tobacco_01,tobacco,12,268.1,9459,28.9,68.3
tobacco_01,tobacco,13,268.1,9444,28.9,67.9
tobacco_01,tobacco,14,268.0,9390,28.9,67.1
tobacco_01,tobacco,15,268.1,9427,28.9,66.9
tobacco_01,tobacco,16,268.0,9498,28.9,66.9
tobacco_01,tobacco,17,268.1,9591,28.9,67.5
tobacco_01,tobacco,18,268.1,9611,28.9,68.1
tobacco_01,tobacco,19,268.0,9552,28.9,68.3
tobacco_01,tobacco,20,268.0,9686,28.9,67.8
tobacco_01,tobacco,21,268.0,9770,28.9,68.5
tobacco_01,tobacco,22,268.0,9817,28.9,68.0
tobacco_01,tobacco,23,268.0,9854,28.9,68.8
tobacco_01,tobacco,24,267.9,9994,28.9,68.9
tobacco_01,tobacco,25,267.8,10114,28.9,69.4
tobacco_01,tobacco,26,267.7,10216,28.9,69.5
tobacco_01,tobacco,27,267.6,10252,28.9,70.4
tobacco_01,tobacco,28,267.5,10133,28.9,70.1
tobacco_01,tobacco,29,267.5,10064,28.9,69.1
tobacco_01,tobacco,30,267.5,9959,29.0,68.6
tobacco_02,tobacco,0,267.1,9078,29.1,66.4
tobacco_02,tobacco,1,267.1,9067,29.1,66.6
tobacco_02,tobacco,2,267.0,9530,29.1,66.2
tobacco_02,tobacco,3,266.9,9604,29.1,67.6
tobacco_02,tobacco,4,266.8,9573,29.1,68.0
tobacco_02,tobacco,5,266.7,9616,29.0,68.1
tobacco_02,tobacco,6,266.7,9598,29.1,68.3
tobacco_02,tobacco,7,266.6,9634,29.0,68.5
tobacco_02,tobacco,8,266.7,9740,29.1,69.3
tobacco_02,tobacco,9,266.7,9881,29.1,70.2
tobacco_02,tobacco,10,266.7,9909,29.1,69.8
tobacco_02,tobacco,11,266.8,10143,29.1,70.1
tobacco_02,tobacco,12,266.7,10053,29.1,69.9
tobacco_02,tobacco,13,266.9,9963,29.1,68.7
tobacco_02,tobacco,14,266.9,10029,29.1,67.7
tobacco_02,tobacco,15,266.8,10330,29.1,67.8
tobacco_02,tobacco,16,266.9,10326,29.1,69.1
tobacco_02,tobacco,17,266.8,10241,29.1,68.7
tobacco_02,tobacco,18,266.8,10332,29.1,68.5
tobacco_02,tobacco,19,266.8,10259,29.1,68.7
tobacco_02,tobacco,20,266.8,10307,29.0,67.4
tobacco_02,tobacco,21,266.7,10307,29.0,67.4
tobacco_02,tobacco,22,266.7,10484,29.0,68.1
tobacco_02,tobacco,23,266.7,10420,29.0,68.5
tobacco_02,tobacco,24,267.0,10326,29.0,68.6
tobacco_03,tobacco,0,266.3,9453,29.1,66.5
tobacco_03,tobacco,1,266.3,9427,29.1,66.9
tobacco_03,tobacco,2,266.4,9394,29.1,67.4
tobacco_03,tobacco,3,266.4,9354,29.2,67.6
tobacco_03,tobacco,4,266.5,9322,29.2,67.4
tobacco_03,tobacco,5,266.5,9289,29.2,66.8
tobacco_03,tobacco,6,266.4,9250,29.2,66.1
tobacco_03,tobacco,7,266.4,9228,29.2,65.9
tobacco_03,tobacco,8,266.3,9196,29.2,65.8
tobacco_03,tobacco,9,266.2,9172,29.2,65.6
tobacco_03,tobacco,10,266.3,9136,29.2,65.9
tobacco_03,tobacco,11,266.2,9095,29.2,65.8
tobacco_03,tobacco,12,266.3,9061,29.2,65.5
tobacco_03,tobacco,13,266.2,9231,29.2,65.9
tobacco_03,tobacco,14,266.2,9599,29.2,66.4
tobacco_03,tobacco,15,266.2,9864,29.2,68.5
tobacco_03,tobacco,16,266.1,10197,29.2,70.2
tobacco_03,tobacco,17,266.1,10161,29.2,70.6
tobacco_03,tobacco,18,266.1,10245,29.1,70.3
tobacco_03,tobacco,19,266.2,10110,29.1,70.3
tobacco_03,tobacco,20,266.2,10202,29.1,69.5
tobacco_03,tobacco,21,266.0,10138,29.1,69.6
tobacco_03,tobacco,22,266.1,10260,29.1,68.6
tobacco_03,tobacco,23,266.0,10148,29.1,69.3
tobacco_03,tobacco,24,266.0,10277,29.0,68.3
tobacco_03,tobacco,25,266.0,10148,29.0,68.7
tobacco_03,tobacco,26,265.9,10445,29.0,67.9
tobacco_03,tobacco,27,265.9,10394,29.0,69.0
tobacco_03,tobacco,28,266.0,10320,28.9,69.0
