session_id,n_samples,wifi_drop_count,mq2_start,mq2_peak,mq2_end,mq2_rise,mq2_rise_rate_per_sample,humidity_start,humidity_peak,humidity_delta,humidity_avg,temp_avg_c,temp_delta_c,loop_r_avg_ohm
tobacco_01,31,30,9159,10252,9959,1093,35.3,66.6,70.4,3.8,67.8,28.86,0.4,268.04
tobacco_02,25,23,9078,10484,10326,1406,56.2,66.4,70.2,3.8,68.33,29.07,0.1,266.81
tobacco_03,34,31,9453,10599,10521,1146,33.7,66.5,72.3,5.8,68.15,29.1,0.3,266.17
tobacco_04,18,17,8968,9838,9704,870,48.3,67.5,71.5,4.0,69.08,28.67,0.1,265.82
tobacco_05,25,23,8918,10297,10297,1379,55.2,68.4,73.3,4.9,69.9,28.54,0.1,265.97
tobacco_06,23,20,9084,10347,10055,1263,54.9,69.2,72.8,3.6,71.04,28.46,0.1,267.25
tobacco_07,26,24,9045,10375,10304,1330,51.2,69.3,72.8,3.5,71.27,28.15,0.1,267.09
tobacco_08,28,28,9101,10607,10545,1506,53.8,69.2,73.8,4.6,71.95,28.1,0.0,266.77
tobacco_09,24,24,8901,12008,11901,3107,129.5,69.9,76.4,6.5,73.81,28.14,0.2,267.17
tobacco_10,28,27,9100,10715,10501,1615,57.7,70.6,76.5,5.9,74.13,27.8,0.0,266.99
