session_id,label,idx,loop_r_ohm,mq2_raw,temp_c,humidity_pct
fire_01,fire,0,319.0,7904,26.5,46.9
fire_01,fire,1,317.5,8239,26.5,47.1
fire_01,fire,2,317.7,8172,26.5,47.1
fire_01,fire,3,317.0,8297,26.5,47.7
fire_01,fire,4,317.0,8270,26.9,47.8
fire_01,fire,5,317.9,8291,27.7,47.8
fire_01,fire,6,317.9,8269,28.7,47.3
fire_01,fire,7,317.8,9028,29.6,46.1
fire_01,fire,8,317.9,9095,30.4,44.5
fire_01,fire,9,317.9,9326,31.4,43.0
fire_01,fire,10,317.9,9331,32.1,41.2
fire_01,fire,11,317.8,9218,32.7,39.7
fire_01,fire,12,317.9,9255,33.4,38.4
fire_01,fire,13,317.8,9131,34.0,37.2
fire_01,fire,14,317.7,9159,34.6,36.0
fire_01,fire,15,317.9,9822,35.1,34.9
fire_01,fire,16,317.8,10311,35.7,33.9
fire_01,fire,17,317.3,10206,36.1,33.0
fire_01,fire,18,317.1,9956,36.4,32.3
fire_01,fire,19,317.0,9769,36.6,31.6
fire_02,fire,0,317.7,8388,26.9,49.8
fire_02,fire,1,318.4,9337,26.8,49.6
fire_02,fire,2,318.5,9290,26.9,50.4
fire_02,fire,3,318.4,9235,27.1,51.3
fire_02,fire,4,318.3,9443,28.3,51.1
fire_02,fire,5,318.4,9746,29.5,50.4
fire_02,fire,6,318.3,9830,30.4,48.9
fire_02,fire,7,319.0,10053,31.7,47.2
fire_02,fire,8,319.0,10418,33.8,45.4
fire_02,fire,9,319.0,10437,35.8,42.6
fire_02,fire,10,318.9,10202,37.1,39.5
fire_02,fire,11,318.9,10385,38.1,36.9
fire_02,fire,12,318.9,10170,39.1,34.5
fire_02,fire,13,318.8,10169,40.0,32.6
fire_03,fire,0,316.6,7823,26.5,49.1
fire_03,fire,1,316.0,8649,26.5,49.3
fire_03,fire,2,316.0,9100,26.7,49.9
fire_03,fire,3,315.9,9481,27.9,50.4
fire_03,fire,4,316.0,9217,29.4,50.0
fire_03,fire,5,315.9,9082,31.2,48.5
fire_03,fire,6,316.2,9023,33.0,46.2
fire_03,fire,7,316.3,9159,35.6,43.4
fire_03,fire,8,316.2,9037,37.4,39.9
fire_03,fire,9,316.2,9449,39.0,36.5
fire_03,fire,10,316.2,9281,40.2,33.6
fire_03,fire,11,316.2,9473,41.4,31.2
fire_03,fire,12,316.2,9363,42.3,29.3
fire_04,fire,0,314.3,7859,27.6,49.0
fire_04,fire,1,314.5,8106,27.5,50.0
fire_04,fire,2,314.3,7961,27.5,51.1
fire_04,fire,3,314.4,7879,28.2,51.5
fire_04,fire,4,315.4,7917,29.6,51.2
fire_04,fire,5,314.4,7850,31.3,49.8
fire_04,fire,6,315.2,8299,33.4,47.6
fire_04,fire,7,314.3,8569,35.0,44.5
fire_04,fire,8,315.2,8679,36.2,41.4
fire_04,fire,9,315.8,8963,37.1,38.7
fire_04,fire,10,315.1,9181,38.0,36.6
fire_04,fire,11,314.9,9021,38.9,34.6
fire_04,fire,12,314.8,8868,39.8,33.0
fire_04,fire,13,314.8,8874,40.6,31.5
fire_05,fire,0,316.1,8552,27.7,48.0
fire_05,fire,1,316.0,9060,27.6,49.2
fire_05,fire,2,316.0,9384,28.5,49.5
fire_05,fire,3,316.1,9448,29.8,49.2
fire_05,fire,4,316.0,9707,30.6,48.0
fire_05,fire,5,316.0,9649,31.3,46.8
fire_05,fire,6,316.1,9756,32.1,45.3
fire_05,fire,7,316.1,9611,33.1,43.7
fire_05,fire,8,316.1,9586,34.0,42.1
