session_id,label,idx,loop_r_ohm,mq2_raw,temp_c,humidity_pct
heat_01,heat,0,315.1,6276,25.1,56.0
heat_01,heat,1,315.1,6271,25.1,56.0
heat_01,heat,2,314.8,6224,25.1,55.9
heat_01,heat,3,315.0,6239,25.4,56.1
heat_01,heat,4,314.9,6336,26.5,56.5
heat_01,heat,5,314.9,6435,27.7,55.7
heat_01,heat,6,315.0,6520,29.1,54.3
heat_01,heat,7,315.0,6615,32.1,52.8
heat_01,heat,8,315.0,6664,35.9,49.3
heat_01,heat,9,315.0,6682,37.8,44.6
heat_01,heat,10,315.0,6703,39.0,40.6
heat_01,heat,11,314.9,6709,40.1,37.4
heat_01,heat,12,315.0,6718,41.1,35.0
heat_01,heat,13,315.0,6728,42.2,33.0
heat_02,heat,0,318.0,7004,27.8,47.3
heat_02,heat,1,317.8,7017,27.7,47.8
heat_02,heat,2,317.8,6957,27.7,47.4
heat_02,heat,3,318.2,7007,28.0,48.2
heat_02,heat,4,318.2,7051,29.0,48.3
heat_02,heat,5,318.0,7053,29.8,47.6
heat_02,heat,6,318.0,7046,30.7,46.7
heat_02,heat,7,317.9,7057,31.8,45.7
heat_02,heat,8,317.8,7069,33.2,44.2
heat_02,heat,9,317.8,7070,34.0,42.4
heat_02,heat,10,317.8,7062,34.8,40.7
heat_02,heat,11,317.8,7049,35.6,39.1
heat_02,heat,12,317.8,7049,36.4,37.6
heat_02,heat,13,317.8,7056,37.4,36.4
heat_03,heat,0,312.4,6599,26.6,51.2
heat_03,heat,1,312.4,6553,26.7,51.5
heat_03,heat,2,312.4,6533,26.8,51.3
heat_03,heat,3,312.4,6633,28.3,51.3
heat_03,heat,4,312.5,6712,29.9,50.3
heat_03,heat,5,312.5,6710,30.8,48.5
heat_03,heat,6,312.4,6743,32.0,46.7
heat_03,heat,7,312.5,6787,33.5,44.5
heat_03,heat,8,312.5,6809,34.8,42.4
heat_03,heat,9,312.5,6830,35.9,40.0
heat_03,heat,10,312.5,6836,37.2,38.0
heat_03,heat,11,312.5,6843,38.5,36.1
heat_03,heat,12,312.5,6847,39.6,34.0
heat_04,heat,0,313.8,6425,26.8,51.6
heat_04,heat,1,313.8,6414,26.8,51.3
heat_04,heat,2,313.8,6452,27.3,51.0
heat_04,heat,3,313.8,6474,28.5,50.7
heat_04,heat,4,313.7,6516,30.1,49.6
heat_04,heat,5,313.7,6576,31.8,47.6
heat_04,heat,6,313.7,6587,32.9,45.1
heat_04,heat,7,313.7,6576,33.9,42.9
heat_04,heat,8,313.7,6590,34.7,40.7
heat_04,heat,9,313.7,6608,35.6,38.9
heat_04,heat,10,313.7,6615,36.5,37.4
heat_04,heat,11,313.7,6641,37.3,36.0
heat_04,heat,12,313.7,6622,38.2,34.6
heat_05,heat,0,317.4,6353,26.8,49.2
heat_05,heat,1,317.3,6377,26.8,49.1
heat_05,heat,2,317.2,6337,26.8,48.9
heat_05,heat,3,317.3,6389,27.4,49.0
heat_05,heat,4,317.3,6423,28.1,48.6
heat_05,heat,5,317.3,6440,28.7,48.3
heat_05,heat,6,317.3,6457,29.3,47.5
heat_05,heat,7,317.3,6490,29.9,46.4
heat_05,heat,8,317.3,6501,30.6,45.3
heat_05,heat,9,317.3,6511,31.7,44.2
heat_05,heat,10,317.2,6535,32.8,42.9
heat_05,heat,11,317.2,6573,34.4,41.5
heat_05,heat,12,317.2,6570,35.5,39.6
heat_05,heat,13,317.2,6568,36.5,37.6
heat_06,heat,0,321.2,7281,27.8,49.2
heat_06,heat,1,321.1,7275,27.8,48.9
heat_06,heat,2,321.1,7279,27.7,48.7
heat_06,heat,3,320.9,7301,28.2,49.0
heat_06,heat,4,320.8,7338,28.9,49.0
heat_06,heat,5,320.7,7375,29.7,48.5
heat_06,heat,6,320.7,7388,30.4,47.6
heat_06,heat,7,320.6,7384,31.0,46.4
heat_06,heat,8,320.5,7397,31.6,45.1
heat_06,heat,9,320.7,7377,32.3,43.9
heat_06,heat,10,320.6,7385,33.0,42.7
heat_06,heat,11,320.5,7432,34.1,41.4
heat_06,heat,12,320.6,7474,35.3,40.0
heat_06,heat,13,320.7,7487,36.4,38.5
heat_07,heat,0,319.5,7246,27.1,52.0
heat_07,heat,1,319.5,7248,27.1,51.3
heat_07,heat,2,319.5,7297,27.4,51.4
heat_07,heat,3,319.4,7317,28.8,50.7
heat_07,heat,4,319.5,7381,29.9,49.5
heat_07,heat,5,319.4,7400,31.4,47.8
heat_07,heat,6,319.4,7407,32.6,45.8
heat_07,heat,7,319.5,7391,33.8,43.5
heat_07,heat,8,319.5,7437,35.3,41.3
heat_07,heat,9,319.4,7449,36.5,38.9
heat_07,heat,10,319.3,7452,37.5,36.8
heat_07,heat,11,319.3,7452,38.3,35.0
