session_id,n_samples,loop_r_avg_ohm,mq2_start,mq2_peak,mq2_rise_pct,temp_start,temp_peak,temp_rise_c,hum_start,hum_min,hum_drop_pp,hum_drop_pct
heat_01,14,315.0,6276,6728,7.2,25.1,42.2,17.1,56.0,33.0,23.0,41.07
heat_02,14,317.9,7004,7070,0.94,27.8,37.4,9.6,47.3,36.4,10.9,23.04
heat_03,13,312.5,6599,6847,3.76,26.6,39.6,13.0,51.2,34.0,17.2,33.59
heat_04,13,313.7,6425,6641,3.36,26.8,38.2,11.4,51.6,34.6,17.0,32.95
heat_05,14,317.3,6353,6573,3.46,26.8,36.5,9.7,49.2,37.6,11.6,23.58
heat_06,14,320.8,7281,7487,2.83,27.8,36.4,8.6,49.2,38.5,10.7,21.75
heat_07,13,319.4,7246,7452,2.84,27.1,38.9,11.8,52.0,33.6,18.4,35.38
heat_08,13,317.8,7151,7302,2.11,26.5,34.8,8.3,50.6,39.2,11.4,22.53
heat_09,11,318.9,7178,7210,0.45,28.4,36.9,8.5,52.4,34.2,18.2,34.73
heat_10,13,315.7,7410,7531,1.63,28.0,33.2,5.2,50.2,39.4,10.8,21.51
