session_id,label,idx,loop_r_ohm,mq2_raw,temp_c,humidity_pct
incense_01,incense,0,269.7,8299,25.1,62.3
incense_01,incense,1,269.5,8301,25.1,62.6
incense_01,incense,2,269.6,9092,25.1,62.6
incense_01,incense,3,269.6,10076,25.1,62.8
incense_01,incense,4,269.6,10602,25.1,63.3
incense_01,incense,5,269.6,10700,25.1,63.8
incense_01,incense,6,269.5,11272,25.2,64.0
incense_01,incense,7,269.5,11047,25.2,63.8
incense_01,incense,8,269.5,10975,25.3,63.6
incense_01,incense,9,269.4,10830,25.3,63.6
incense_01,incense,10,269.4,10788,25.4,63.1
incense_01,incense,11,269.5,10671,25.4,63.0
incense_01,incense,12,269.2,10501,25.4,63.3
incense_01,incense,13,269.2,10388,25.4,63.3
incense_01,incense,14,269.1,10258,25.5,63.6
incense_01,incense,15,269.0,10167,25.5,64.1
incense_01,incense,16,269.0,10079,25.6,65.1
incense_01,incense,17,269.1,10033,25.6,64.7
incense_01,incense,18,269.0,10190,25.7,64.6
incense_01,incense,19,269.1,10093,25.8,64.5
incense_01,incense,20,269.1,11129,25.9,64.2
incense_01,incense,21,269.0,10927,26.0,64.0
incense_01,incense,22,269.1,10731,26.1,63.6
incense_01,incense,23,269.1,10609,26.1,63.0
incense_01,incense,24,269.1,10456,26.2,63.2
incense_01,incense,25,269.1,10333,26.3,63.2
incense_01,incense,26,269.1,10229,26.4,62.6
incense_01,incense,27,269.1,10141,26.5,61.9
incense_02,incense,0,267.5,8247,27.1,57.2
incense_02,incense,1,267.5,8259,27.1,57.1
incense_02,incense,2,267.4,8276,27.2,56.9
incense_02,incense,3,267.3,8617,27.2,56.8
incense_02,incense,4,267.4,9039,27.2,56.9
incense_02,incense,5,267.3,8937,27.2,57.0
incense_02,incense,6,267.3,8863,27.3,56.9
incense_02,incense,7,267.4,8808,27.3,56.7
incense_02,incense,8,267.3,8818,27.3,56.7
incense_02,incense,9,267.3,8768,27.3,56.5
incense_02,incense,10,267.3,8727,27.4,56.5
incense_02,incense,11,267.2,8719,27.3,56.2
incense_02,incense,12,267.3,9280,27.4,56.1
incense_02,incense,13,267.2,9204,27.4,56.2
incense_02,incense,14,267.2,9201,27.4,56.1
incense_02,incense,15,267.2,9112,27.4,55.9
incense_02,incense,16,267.3,9041,27.4,55.9
