session_id,n_samples,wifi_drop_count,mq2_start,mq2_peak,mq2_end,mq2_rise_abs,mq2_rise_pct,humidity_start,humidity_peak,humidity_rise_abs_pp,humidity_rise_pct,temp_start_c,temp_end_c,temp_delta_c
incense_01,28,28,8299,11272,10141,2973,35.82,62.3,65.1,2.8,4.49,25.1,26.5,1.4
incense_02,18,17,8247,9280,8988,1033,12.53,57.2,57.2,0.0,0.0,27.1,27.4,0.3
incense_03,16,16,8237,10745,10507,2508,30.45,55.2,56.4,1.2,2.17,27.5,27.5,0.0
incense_04,24,24,8238,12336,11627,4098,49.75,57.2,60.4,3.2,5.59,26.8,27.5,0.8
incense_05,13,11,8221,10737,10737,2516,30.6,57.4,58.0,0.6,1.05,27.0,27.3,0.3
incense_06,14,13,8233,10513,9945,2280,27.69,57.0,58.4,1.4,2.46,27.0,27.1,0.2
incense_07,14,14,8258,15285,15161,7027,85.09,56.4,58.2,1.8,3.19,27.0,27.2,0.2
incense_08,14,13,8315,9616,9586,1301,15.65,56.6,56.6,0.0,0.0,26.8,26.8,0.0
incense_09,13,12,8125,12414,12414,4289,52.79,56.5,60.1,3.6,6.37,26.3,26.7,0.4
incense_10,13,13,7894,10716,10017,2822,35.75,55.6,58.6,3.0,5.4,26.2,26.7,0.5
