seq,label,condition,rms_mA,peak_mA,duty_cycle,source_file
1,normal,valve_full_open,234.28,398.3,0.66,normal_valve_full_open.csv
2,normal,valve_full_open,253.72,408.0,0.74,normal_valve_full_open.csv
3,normal,valve_full_open,243.8,409.9,0.68,normal_valve_full_open.csv
4,normal,valve_full_open,246.08,404.1,0.72,normal_valve_full_open.csv
5,normal,valve_full_open,253.81,407.1,0.74,normal_valve_full_open.csv
6,normal,valve_full_open,253.95,409.5,0.76,normal_valve_full_open.csv
7,normal,valve_full_open,253.44,407.4,0.73,normal_valve_full_open.csv
8,normal,valve_full_open,241.86,410.2,0.7,normal_valve_full_open.csv
9,normal,valve_full_open,240.97,404.3,0.69,normal_valve_full_open.csv
10,normal,valve_full_open,248.65,410.4,0.72,normal_valve_full_open.csv
11,normal,valve_full_open,253.91,409.3,0.74,normal_valve_full_open.csv
12,normal,valve_full_open,254.41,407.6,0.74,normal_valve_full_open.csv
13,normal,valve_full_open,251.89,403.5,0.73,normal_valve_full_open.csv
14,normal,valve_full_open,255.11,410.1,0.74,normal_valve_full_open.csv
15,normal,valve_full_open,248.81,408.2,0.72,normal_valve_full_open.csv
16,normal,valve_full_open,251.94,407.4,0.73,normal_valve_full_open.csv
17,normal,valve_full_open,245.73,407.6,0.71,normal_valve_full_open.csv
18,normal,valve_full_open,249.24,409.1,0.72,normal_valve_full_open.csv
19,normal,valve_full_open,244.3,401.5,0.7,normal_valve_full_open.csv
20,normal,valve_full_open,251.08,408.0,0.71,normal_valve_full_open.csv
21,normal,valve_full_open,250.18,390.5,0.71,normal_valve_full_open.csv
22,normal,valve_full_open,246.34,409.7,0.66,normal_valve_full_open.csv
23,normal,valve_full_open,249.08,407.4,0.71,normal_valve_full_open.csv
24,normal,valve_full_open,246.31,409.3,0.69,normal_valve_full_open.csv
25,normal,valve_full_open,250.07,410.6,0.7,normal_valve_full_open.csv
26,normal,valve_full_open,246.0,411.0,0.71,normal_valve_full_open.csv
27,normal,valve_full_open,237.73,404.5,0.69,normal_valve_full_open.csv
28,normal,valve_full_open,242.06,406.0,0.69,normal_valve_full_open.csv
29,normal,valve_full_open,247.34,410.1,0.72,normal_valve_full_open.csv
30,normal,valve_full_open,259.71,399.1,0.81,normal_valve_full_open.csv
31,normal,valve_full_open,257.48,408.8,0.75,normal_valve_full_open.csv
32,normal,valve_full_open,255.66,405.6,0.76,normal_valve_full_open.csv
33,normal,valve_full_open,249.62,408.6,0.72,normal_valve_full_open.csv
34,normal,valve_full_open,239.7,411.7,0.67,normal_valve_full_open.csv
35,normal,valve_full_open,246.67,407.6,0.71,normal_valve_full_open.csv
36,normal,valve_full_open,256.95,410.1,0.79,normal_valve_full_open.csv
37,normal,valve_full_open,258.71,407.8,0.77,normal_valve_full_open.csv
38,normal,valve_full_open,250.25,405.4,0.75,normal_valve_full_open.csv
39,normal,valve_full_open,247.33,409.5,0.74,normal_valve_full_open.csv
40,normal,valve_full_open,230.97,404.8,0.65,normal_valve_full_open.csv
41,normal,valve_full_open,233.99,407.6,0.64,normal_valve_full_open.csv
42,normal,valve_full_open,260.19,401.9,0.77,normal_valve_full_open.csv
43,normal,valve_full_open,253.7,409.5,0.76,normal_valve_full_open.csv
44,normal,valve_full_open,246.46,406.5,0.73,normal_valve_full_open.csv
45,normal,valve_full_open,233.2,406.1,0.66,normal_valve_full_open.csv
46,normal,valve_full_open,232.6,401.5,0.71,normal_valve_full_open.csv
47,normal,valve_full_open,230.44,398.9,0.7,normal_valve_full_open.csv
48,normal,valve_full_open,236.16,407.3,0.67,normal_valve_full_open.csv
49,normal,valve_full_open,232.43,398.9,0.69,normal_valve_full_open.csv
50,normal,valve_full_open,238.73,397.6,0.7,normal_valve_full_open.csv
