boot_elapsed_sec,ts,raw_adc,voltage_v,temp_c_placeholder,loop_resistance_ohm
20,21,8546,1.6024,-27.6,224.0
25,26,8556,1.6043,-27.6,224.1
30,31,8547,1.6026,-27.6,224.1
35,36,8538,1.6009,-27.5,224.2
40,41,8544,1.602,-27.5,224.2
45,46,8547,1.6026,-27.6,224.1
50,51,8545,1.6022,-27.6,224.1
55,56,8548,1.6028,-27.6,224.2
60,61,8550,1.6031,-27.6,224.2
65,66,8568,1.6065,-27.7,224.0
70,71,8557,1.6044,-27.6,224.1
75,76,8573,1.6074,-27.7,223.9
80,81,8562,1.6054,-27.6,223.9
85,86,8565,1.6059,-27.6,223.8
90,91,8570,1.6069,-27.7,223.8
95,96,8572,1.6072,-27.7,223.8
100,101,8518,1.5971,-27.4,223.9
105,106,8550,1.6031,-27.6,224.1
110,111,8554,1.6039,-27.6,224.0
115,116,8559,1.6048,-27.6,224.1
120,121,8563,1.6056,-27.6,224.0
125,126,8573,1.6074,-27.7,224.0
130,131,8566,1.6061,-27.7,224.0
135,136,8566,1.6061,-27.7,223.9
140,141,8570,1.6069,-27.7,223.9
145,146,8574,1.6076,-27.7,223.9
150,151,8574,1.6076,-27.7,223.9
155,156,8578,1.6084,-27.7,223.9
160,161,8578,1.6084,-27.7,223.9
165,166,8585,1.6097,-27.7,223.9
170,171,8577,1.6082,-27.7,224.0
175,176,8578,1.6084,-27.7,223.9
180,181,8582,1.6091,-27.7,223.8
185,186,8579,1.6086,-27.7,223.8
190,191,8578,1.6084,-27.7,223.8
195,196,8583,1.6093,-27.7,223.8
200,201,8580,1.6087,-27.7,223.9
205,206,8583,1.6093,-27.7,223.8
210,211,8585,1.6097,-27.7,223.9
215,216,8585,1.6097,-27.7,224.0
220,221,8585,1.6097,-27.7,224.0
225,226,8582,1.6091,-27.7,223.9
230,231,8573,1.6074,-27.7,224.0
235,236,8574,1.6076,-27.7,224.0
240,241,8579,1.6086,-27.7,224.0
245,246,8568,1.6065,-27.7,223.9
250,251,8565,1.6059,-27.6,223.8
255,256,8570,1.6069,-27.7,223.8
260,261,8573,1.6074,-27.7,223.8
265,266,8574,1.6076,-27.7,223.8
270,271,8583,1.6093,-27.7,223.8
275,276,8579,1.6086,-27.7,223.8
280,281,8583,1.6093,-27.7,223.8
285,286,8581,1.6089,-27.7,223.8
290,291,8577,1.6082,-27.7,223.7
295,296,8579,1.6086,-27.7,223.6
300,301,8584,1.6095,-27.7,223.5
305,306,8585,1.6097,-27.7,223.5
310,311,8575,1.6078,-27.7,223.4
315,316,8584,1.6095,-27.7,223.2
320,321,8589,1.6104,-27.8,223.3
325,326,8586,1.6099,-27.7,223.2
330,331,8580,1.6087,-27.7,223.3
335,336,8586,1.6099,-27.7,223.4
340,341,8588,1.6102,-27.8,223.3
345,346,8585,1.6097,-27.7,223.4
350,351,8591,1.6108,-27.8,223.5
355,356,8600,1.6125,-27.8,223.5
360,361,8598,1.6121,-27.8,223.5
365,366,8597,1.6119,-27.8,223.4
370,371,8599,1.6123,-27.8,223.4
375,376,8593,1.6112,-27.8,223.4
380,381,8588,1.6102,-27.8,223.4
385,386,8590,1.6106,-27.8,223.4
390,391,8589,1.6104,-27.8,223.3
395,396,8578,1.6084,-27.7,223.3
400,401,8575,1.6078,-27.7,223.3
405,406,8571,1.6071,-27.7,223.3
410,411,8585,1.6097,-27.7,223.2
415,416,8577,1.6082,-27.7,223.2
420,421,8571,1.6071,-27.7,223.1
425,426,8565,1.6059,-27.6,223.2
430,431,8562,1.6054,-27.6,223.2
435,436,8566,1.6061,-27.7,223.2
440,441,8558,1.6046,-27.6,223.2
445,446,8557,1.6044,-27.6,223.2
450,451,8549,1.6029,-27.6,223.2
455,456,8543,1.6018,-27.5,223.2
460,461,8523,1.5981,-27.5,223.2
465,466,8541,1.6014,-27.5,223.2
470,471,8537,1.6007,-27.5,223.2
475,476,8526,1.5986,-27.5,223.1
480,481,8538,1.6009,-27.5,223.2
485,486,8543,1.6018,-27.5,223.2
490,491,8538,1.6009,-27.5,223.3
495,496,8539,1.6011,-27.5,223.2
500,501,8544,1.602,-27.5,223.3
505,506,8545,1.6022,-27.6,223.3
510,511,8540,1.6013,-27.5,223.2
515,516,8538,1.6009,-27.5,223.2
520,521,8537,1.6007,-27.5,223.2
525,526,8548,1.6028,-27.6,223.2
530,531,8545,1.6022,-27.6,223.3
535,536,8559,1.6048,-27.6,223.3
540,541,8574,1.6076,-27.7,223.4
545,546,8573,1.6074,-27.7,223.4
550,551,8579,1.6086,-27.7,223.4
555,556,8580,1.6087,-27.7,223.4
560,561,8595,1.6116,-27.8,223.5
565,566,8587,1.6101,-27.8,223.5
570,571,8588,1.6102,-27.8,223.5
575,576,8593,1.6112,-27.8,223.4
580,581,8594,1.6114,-27.8,223.3
585,586,8601,1.6127,-27.8,223.3
590,591,8594,1.6114,-27.8,223.3
595,596,8595,1.6116,-27.8,223.3
600,601,8588,1.6102,-27.8,223.2
605,606,8585,1.6097,-27.7,223.3
610,611,8591,1.6108,-27.8,223.2
615,616,8601,1.6127,-27.8,223.2
620,621,8591,1.6108,-27.8,223.3
625,626,8583,1.6093,-27.7,223.3
630,631,8584,1.6095,-27.7,223.3
635,636,8592,1.611,-27.8,223.3
640,641,8589,1.6104,-27.8,223.4
645,646,8590,1.6106,-27.8,223.4
650,651,8591,1.6108,-27.8,223.4
655,656,8592,1.611,-27.8,223.3
660,661,8587,1.6101,-27.8,223.3
665,666,8594,1.6114,-27.8,223.3
670,671,8599,1.6123,-27.8,223.3
675,676,8589,1.6104,-27.8,223.3
680,681,8584,1.6095,-27.7,223.3
685,686,8590,1.6106,-27.8,223.4
690,691,8589,1.6104,-27.8,223.4
695,696,8594,1.6114,-27.8,223.4
700,701,8586,1.6099,-27.7,223.5
705,706,8584,1.6095,-27.7,223.4
710,711,8583,1.6093,-27.7,223.4
715,716,8588,1.6102,-27.8,223.3
720,721,8593,1.6112,-27.8,223.3
725,726,8591,1.6108,-27.8,223.2
730,731,8583,1.6093,-27.7,223.3
735,736,8594,1.6114,-27.8,223.2
740,741,8587,1.6101,-27.8,223.3
745,746,8587,1.6101,-27.8,223.2
750,751,8578,1.6084,-27.7,223.3
755,756,8576,1.608,-27.7,223.4
760,761,8579,1.6086,-27.7,223.4
765,766,8572,1.6072,-27.7,223.4
770,771,8577,1.6082,-27.7,223.4
775,776,8576,1.608,-27.7,223.4
780,781,8582,1.6091,-27.7,223.4
785,786,8583,1.6093,-27.7,223.4
790,791,8586,1.6099,-27.7,223.4
795,796,8585,1.6097,-27.7,223.4
800,801,8594,1.6114,-27.8,223.4
805,806,8584,1.6095,-27.7,223.5
810,811,8596,1.6118,-27.8,223.5
815,816,8601,1.6127,-27.8,223.6
820,821,8596,1.6118,-27.8,223.6
825,826,8592,1.611,-27.8,223.6
830,831,8591,1.6108,-27.8,223.6
835,836,8585,1.6097,-27.7,223.6
840,841,8581,1.6089,-27.7,223.6
845,846,8580,1.6087,-27.7,223.6
850,851,8588,1.6102,-27.8,223.6
855,856,8582,1.6091,-27.7,223.7
860,861,8577,1.6082,-27.7,223.7
865,866,8579,1.6086,-27.7,223.7
870,871,8581,1.6089,-27.7,223.7
875,876,8591,1.6108,-27.8,223.7
880,881,8584,1.6095,-27.7,223.6
885,886,8591,1.6108,-27.8,223.6
890,891,8591,1.6108,-27.8,223.6
895,896,8595,1.6116,-27.8,223.6
900,901,8596,1.6118,-27.8,223.6
