boot_elapsed_sec,ts,raw_adc,voltage_v,temp_c_placeholder,loop_resistance_ohm
15,16,8583,1.6093,-27.7,208.3
20,21,8599,1.6123,-27.8,212.3
25,26,8591,1.6108,-27.8,212.1
30,31,8559,1.6048,-27.6,212.3
35,36,8583,1.6093,-27.7,209.2
40,41,8586,1.6099,-27.7,208.8
45,46,8585,1.6097,-27.7,210.9
50,51,8589,1.6104,-27.8,210.5
55,56,8590,1.6106,-27.8,210.3
60,61,8599,1.6123,-27.8,209.6
65,66,8603,1.6131,-27.8,207.5
70,71,8604,1.6133,-27.8,213.7
75,76,8602,1.6129,-27.8,213.6
80,81,8606,1.6136,-27.8,213.6
85,86,8605,1.6134,-27.8,213.7
90,91,8595,1.6116,-27.8,213.7
95,96,8597,1.6119,-27.8,213.6
100,101,8597,1.6119,-27.8,213.4
105,106,8601,1.6127,-27.8,213.2
110,111,8606,1.6136,-27.8,212.8
115,116,8605,1.6134,-27.8,212.4
120,121,8604,1.6133,-27.8,211.8
125,126,8607,1.6138,-27.8,211.3
130,131,8612,1.6148,-27.9,212.1
135,136,8594,1.6114,-27.8,211.8
140,141,8354,1.5664,-26.7,211.5
145,146,8492,1.5922,-27.3,211.2
150,151,8528,1.599,-27.5,211.0
155,156,8544,1.602,-27.5,210.7
160,161,8548,1.6028,-27.6,211.7
165,166,8543,1.6018,-27.5,211.8
170,171,8545,1.6022,-27.6,211.5
175,176,8540,1.6013,-27.5,211.1
180,181,8549,1.6029,-27.6,210.8
185,186,8559,1.6048,-27.6,209.9
190,191,8559,1.6048,-27.6,213.8
195,196,8563,1.6056,-27.6,213.5
200,201,8558,1.6046,-27.6,211.8
205,206,8561,1.6052,-27.6,214.0
210,211,8554,1.6039,-27.6,214.5
215,216,8573,1.6074,-27.7,214.4
220,221,8570,1.6069,-27.7,214.3
225,226,8569,1.6067,-27.7,214.1
230,231,8566,1.6061,-27.7,214.2
235,236,8558,1.6046,-27.6,214.1
240,241,8570,1.6069,-27.7,214.0
245,246,8565,1.6059,-27.6,214.1
250,251,8572,1.6072,-27.7,214.1
255,256,8580,1.6087,-27.7,214.0
260,261,8581,1.6089,-27.7,214.0
265,266,8569,1.6067,-27.7,213.9
270,271,8307,1.5576,-26.4,213.7
275,276,8307,1.5576,-26.4,213.7
280,281,8393,1.5737,-26.8,213.7
285,286,8431,1.5808,-27.0,213.7
290,291,8446,1.5836,-27.1,213.8
295,296,8447,1.5838,-27.1,213.7
300,301,8453,1.5849,-27.1,213.6
305,306,8460,1.5863,-27.2,213.6
310,311,8468,1.5877,-27.2,213.5
315,316,8466,1.5874,-27.2,213.5
320,321,8468,1.5877,-27.2,213.6
325,326,8480,1.59,-27.2,213.6
330,331,8475,1.5891,-27.2,213.8
335,336,8483,1.5906,-27.3,214.0
340,341,8471,1.5883,-27.2,214.2
345,346,8482,1.5904,-27.3,214.2
350,351,8491,1.5921,-27.3,214.2
355,356,8491,1.5921,-27.3,214.0
360,361,8487,1.5913,-27.3,214.2
365,366,8502,1.5941,-27.4,214.1
370,371,8496,1.593,-27.3,214.1
375,376,8509,1.5954,-27.4,214.2
380,381,8505,1.5947,-27.4,214.1
385,386,8514,1.5964,-27.4,214.2
390,391,7980,1.4963,-24.9,214.1
395,396,8133,1.5249,-25.6,214.3
400,401,8267,1.5501,-26.3,214.3
405,406,8337,1.5632,-26.6,214.4
410,411,8352,1.566,-26.6,214.4
415,416,8355,1.5666,-26.7,214.3
420,421,8373,1.5699,-26.7,214.4
425,426,8381,1.5714,-26.8,214.4
430,431,8388,1.5727,-26.8,214.3
435,436,8398,1.5746,-26.9,214.4
440,441,8407,1.5763,-26.9,214.4
445,446,8411,1.5771,-26.9,214.3
450,451,8417,1.5782,-27.0,214.2
455,456,8415,1.5778,-26.9,214.3
460,461,8412,1.5773,-26.9,214.3
465,466,8433,1.5812,-27.0,214.2
470,471,8437,1.5819,-27.0,214.2
475,476,8433,1.5812,-27.0,214.0
480,481,8425,1.5797,-27.0,214.2
485,486,8439,1.5823,-27.1,214.2
490,491,8425,1.5797,-27.0,214.1
495,496,8437,1.5819,-27.0,214.0
500,501,8439,1.5823,-27.1,214.1
505,506,8443,1.5831,-27.1,214.0
510,511,8459,1.5861,-27.2,213.8
515,516,8464,1.587,-27.2,213.8
520,521,8477,1.5894,-27.2,213.7
525,526,8467,1.5876,-27.2,213.7
530,531,8461,1.5864,-27.2,213.7
535,536,7559,1.4173,-22.9,213.3
540,541,7867,1.4751,-24.4,213.3
545,546,8089,1.5167,-25.4,213.2
550,551,8156,1.5293,-25.7,213.2
555,556,8207,1.5388,-26.0,213.0
560,561,8266,1.5499,-26.2,213.1
565,566,8240,1.545,-26.1,213.2
570,571,8225,1.5422,-26.1,213.3
575,576,8299,1.5561,-26.4,213.1
580,581,8259,1.5486,-26.2,213.0
585,586,8255,1.5478,-26.2,213.0
590,591,8288,1.554,-26.4,213.2
595,596,8325,1.5609,-26.5,213.2
600,601,8332,1.5623,-26.6,213.2
605,606,8313,1.5587,-26.5,213.2
610,611,8343,1.5643,-26.6,213.1
615,616,8350,1.5656,-26.6,213.2
620,621,8349,1.5654,-26.6,213.3
625,626,8332,1.5623,-26.6,213.3
630,631,7417,1.3907,-22.3,213.3
635,636,7852,1.4722,-24.3,213.3
640,641,8003,1.5006,-25.0,213.3
645,646,8072,1.5135,-25.3,213.2
650,651,8103,1.5193,-25.5,213.1
655,656,8131,1.5246,-25.6,212.7
660,661,8137,1.5257,-25.6,211.8
665,666,8172,1.5323,-25.8,211.8
670,671,8181,1.5339,-25.8,210.3
675,676,8188,1.5353,-25.9,213.4
680,681,8201,1.5377,-25.9,213.4
685,686,8218,1.5409,-26.0,213.4
690,691,8251,1.5471,-26.2,213.4
695,696,8260,1.5488,-26.2,213.4
700,701,8248,1.5465,-26.2,213.4
705,706,8290,1.5544,-26.4,213.4
710,711,8229,1.5429,-26.1,213.4
715,716,8301,1.5564,-26.4,213.3
720,721,8264,1.5495,-26.2,213.4
725,726,8262,1.5491,-26.2,213.5
730,731,8275,1.5516,-26.3,213.4
735,736,8305,1.5572,-26.4,213.4
740,741,8248,1.5465,-26.2,213.4
745,746,8300,1.5562,-26.4,213.4
750,751,8320,1.56,-26.5,213.5
755,756,8351,1.5658,-26.6,213.6
760,761,8333,1.5624,-26.6,213.5
765,766,8323,1.5606,-26.5,213.5
770,771,8341,1.5639,-26.6,213.5
775,776,8335,1.5628,-26.6,213.6
780,781,8350,1.5656,-26.6,213.5
785,786,8359,1.5673,-26.7,213.5
790,791,8362,1.5679,-26.7,213.5
795,796,8359,1.5673,-26.7,213.3
800,801,8376,1.5705,-26.8,213.4
805,806,8391,1.5733,-26.8,213.3
810,811,8394,1.5739,-26.8,213.3
815,816,8396,1.5742,-26.9,213.3
820,821,8382,1.5716,-26.8,213.5
825,826,8386,1.5724,-26.8,213.5
830,831,8388,1.5727,-26.8,213.6
