boot_elapsed_sec,ts,raw_adc,voltage_v,temp_c_placeholder,loop_resistance_ohm
15,16,9644,1.8083,-32.7,33.8
20,21,9684,1.8158,-32.9,33.6
25,26,9684,1.8158,-32.9,33.5
30,31,9402,1.7629,-31.6,33.4
35,36,8474,1.5889,-27.2,33.3
40,41,8756,1.6417,-28.5,33.3
45,46,7092,1.3298,-20.7,33.2
50,51,7142,1.3391,-21.0,33.1
55,56,6809,1.2767,-19.4,33.1
60,61,7465,1.3997,-22.5,33.1
65,66,7505,1.4072,-22.7,33.1
70,71,6779,1.2711,-19.3,33.1
75,76,7425,1.3922,-22.3,33.1
80,81,7667,1.4376,-23.4,33.1
85,86,7495,1.4053,-22.6,33.1
90,91,6234,1.1689,-16.7,33.1
95,96,5851,1.0971,-14.9,33.0
100,101,6073,1.1387,-16.0,33.0
105,106,5488,1.029,-13.2,33.0
110,111,3591,0.6733,-4.3,32.9
115,116,3228,0.6053,-2.6,32.9
120,121,1493,0.2799,5.5,33.0
